zone,range,count,percent
2구역,0도,80,2.9
2구역,1-10도,666,24.3
2구역,11-20도,503,18.3
2구역,21-30도,356,13
2구역,31-40도,303,11
2구역,41-50도,222,8.1
2구역,51-60도,218,7.9
2구역,61-70도,72,2.6
2구역,71-80도,77,2.8
2구역,81-90도,61,2.2
2구역,91-100도,78,2.8
2구역,101-110도,37,1.3
2구역,111-120도,21,0.8
2구역,131-140도,34,1.2
2구역,141-150도,16,0.6
2구역,151-160도,2,0.1
3구역,1-10도,977,17.6
3구역,11-20도,921,16.6
3구역,21-30도,961,17.4
3구역,31-40도,602,10.9
3구역,41-50도,463,8.4
3구역,51-60도,318,5.7
3구역,61-70도,200,3.6
3구역,71-80도,207,3.7
3구역,81-90도,74,1.3
3구역,91-100도,196,3.5
3구역,101-110도,47,0.8
3구역,111-120도,265,4.8
3구역,121-130도,61,1.1
3구역,131-140도,59,1.1
3구역,141-150도,33,0.6
3구역,151-160도,19,0.3
3구역,161-170도,95,1.7
3구역,171-180도,19,0.3
3구역,181-190도,19,0.3
4구역,0도,84,5
4구역,1-10도,291,17.2
4구역,11-20도,381,22.5
4구역,21-30도,268,15.8
4구역,31-40도,168,9.9
4구역,41-50도,114,6.7
4구역,51-60도,36,2.1
4구역,61-70도,69,4.1
4구역,71-80도,64,3.8
4구역,81-90도,29,1.7
4구역,91-100도,28,1.7
4구역,101-110도,41,2.4
4구역,111-120도,49,2.9
4구역,121-130도,54,3.2
4구역,131-140도,20,1.2
5구역,0도,58,3.8
5구역,1-10도,561,36.8
5구역,11-20도,276,18.1
5구역,21-30도,50,3.3
5구역,31-40도,79,5.2
5구역,41-50도,99,6.5
5구역,51-60도,69,4.5
5구역,61-70도,85,5.6
5구역,71-80도,57,3.7
5구역,81-90도,58,3.8
5구역,101-110도,55,3.6
5구역,111-120도,3,0.2
5구역,121-130도,36,2.4
5구역,131-140도,19,1.2
5구역,141-150도,19,1.2
